city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Phoenix,Phoenix,33.5722,-112.0892,United States,US,USA,Arizona,admin,4065338.0,1840020568,North America
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3716929.0,1840003971,North America
Montréal,Montreal,45.5089,-73.5617,Canada,CA,CAN,Quebec,,3675219.0,1124586170,North America
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3555253.0,1840021117,North America
San Francisco,San Francisco,37.7558,-122.4449,United States,US,USA,California,,3364862.0,1840021543,North America
San Diego,San Diego,32.8313,-117.1222,United States,US,USA,California,,3057778.0,1840021990,North America
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2906807.0,1840007830,North America
Tampa,Tampa,27.9945,-82.4447,United States,US,USA,Florida,,2906035.0,1840015982,North America
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2736074.0,1840034030,North America
Denver,Denver,39.762,-104.8758,United States,US,USA,Colorado,admin,2691349.0,1840018789,North America
Toluca,Toluca,19.2925,-99.6569,Mexico,MX,MEX,México,admin,2476689.0,1484124846,North America
Vancouver,Vancouver,49.25,-123.1,Canada,CA,CAN,British Columbia,,2426160.0,1124825478,North America
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2405464.0,1840034002,North America
Riverside,Riverside,33.9381,-117.3949,United States,US,USA,California,,2288508.0,1840020551,North America
Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,Nevada,,2256509.0,1840020364,North America
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2189589.0,1840001592,North America
St. Louis,St. Louis,38.6359,-90.2451,United States,US,USA,Missouri,,2127843.0,1840001651,North America
Portland,Portland,45.5371,-122.65,United States,US,USA,Oregon,,2084045.0,1840019941,North America
San Antonio,San Antonio,29.4632,-98.5238,United States,US,USA,Texas,,2069843.0,1840022220,North America
Tijuana,Tijuana,32.525,-117.0333,Mexico,MX,MEX,Baja California,minor,2002000.0,1484708778,North America
Sacramento,Sacramento,38.5677,-121.4685,United States,US,USA,California,admin,1962998.0,1840021491,North America
Austin,Austin,30.3005,-97.7522,United States,US,USA,Texas,admin,1915031.0,1840019590,North America
Orlando,Orlando,28.4773,-81.337,United States,US,USA,Florida,,1913597.0,1840015099,North America
San Jose,San Jose,37.3012,-121.848,United States,US,USA,California,,1771563.0,1840021570,North America
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1740984.0,1840030084,North America
Pittsburgh,Pittsburgh,40.4397,-79.9763,United States,US,USA,Pennsylvania,,1712828.0,1840001254,North America
Cincinnati,Cincinnati,39.1413,-84.506,United States,US,USA,Ohio,,1704916.0,1840003814,North America
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,New York,,1694263.0,1840034000,North America
Kansas City,Kansas City,39.1238,-94.5541,United States,US,USA,Missouri,,1686807.0,1840008535,North America
Cleveland,Cleveland,41.4764,-81.6805,United States,US,USA,Ohio,,1679247.0,1840000596,North America
Ecatepec,Ecatepec,19.6097,-99.06,Mexico,MX,MEX,México,minor,1655015.0,1484003694,North America
León de los Aldama,Leon de los Aldama,21.1167,-101.6833,Mexico,MX,MEX,Guanajuato,minor,1579803.0,1484811199,North America
Columbus,Columbus,39.9862,-82.9855,United States,US,USA,Ohio,admin,1578153.0,1840003760,North America
Puebla,Puebla,19.0333,-98.1833,Mexico,MX,MEX,Puebla,admin,1576259.0,1484416394,North America
Zapopan,Zapopan,20.7167,-103.4,Mexico,MX,MEX,Jalisco,minor,1476491.0,1484198680,North America
Bronx,Bronx,40.8501,-73.8662,United States,US,USA,New York,,1472654.0,1840033999,North America
Charlotte,Charlotte,35.2083,-80.8303,United States,US,USA,North Carolina,,1436613.0,1840014557,North America
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1431821.0,1840003871,North America
Juárez,Juarez,31.745,-106.485,Mexico,MX,MEX,Chihuahua,minor,1321004.0,1484840083,North America
